,8,9,10,11,12,13,14,15,16,average
1.0,0.15718976684464966,0.15960588478441118,0.16898494905796235,,0.19237670641178334,,,0.16985415365544185,0.18390672757868648,0.1719863647221558
2.0,,0.1171485434665185,0.11942790409528244,0.1390004796784135,0.12324272538457533,0.13189990846174132,0.1419483469993209,0.11756265345082449,0.1222286293625056,0.12655739886239775
3.0,0.1069308552550044,0.09784787011193484,0.09954893399963621,0.10901534417618741,0.1015494995910714,0.10607813073973328,0.1088011801282564,0.10042399266096395,0.10235950759484239,0.1036172571397367
4.0,0.08775343696323241,0.08939019252441095,0.09016997265985002,0.09055153045720696,0.0900151977036404,0.08849614216297738,0.0917142104148455,0.08864033450241371,0.09115958498474748,0.08976562248592497
5.0,0.08130779672792927,0.08243340781937167,0.07972439185100763,0.08079477140087993,0.08024635169155589,0.0778178335263741,0.07925878964217582,0.0814062846615074,0.07987308920119435,0.08031807961355512
6.0,0.07369799724673759,0.07415944603405478,0.07296037079137468,0.07280621910363479,0.07298248111125193,0.0717920946570886,0.07272400056805202,0.07388821224309239,0.07322496742504038,0.07313730990892524
7.0,0.06708135606574732,0.06740723494026984,0.06806601338994644,0.06636043496492935,0.06861189008442559,0.06586564244672918,0.06638539053486403,0.06717321129279327,0.0680387215911807,0.0672210994789873
8.0,0.06305240475589693,0.06300450666985544,0.06338364372633398,0.062396902193955606,0.06353615025253258,0.06255286647656312,0.06167214051537199,0.06232647757985822,0.06293736750142374,0.06276249551908797
9.0,0.058692192087442155,0.05953457917446819,0.05958248931153374,0.05801749453601515,0.0592757695707239,0.05901708324107474,0.05778270356363081,0.05809882197409831,0.05932536577153416,0.0588140554700579
10.0,0.05580775250052822,0.05591563342318046,0.0556115949781594,0.055312587478786424,0.056209281966193764,0.05598978889303323,0.055009037880304326,0.05531966981787233,0.05637121146131072,0.055727395377707656
11.0,0.053413894432403936,0.053878588436690404,0.053311799874881854,0.053141818272751495,0.05353299879414841,0.05299871469890187,0.05287544382218576,0.05291504611628484,0.05386676339689189,0.05332611864946005
12.0,0.05138046135509755,0.05187959215456337,0.05084128855314688,0.05115983168102928,0.05057897039944184,0.05034607359025659,0.05010631233762534,0.05050062166619331,0.05144241673279176,0.050915063163349546
13.0,0.049292370457237056,0.049211497420828115,0.04872401683929992,0.048723676741660574,0.04895406757181969,0.04808993010429847,0.04809016191003596,0.04818719940991922,0.0492462044156757,0.04872434720786385
14.0,0.045462620519824574,0.045967665962955,0.04733669390454828,0.04708216059511692,0.047118384260788015,0.04653770741327242,0.04652886103627418,0.04665606509762178,0.047331231052801875,0.04666904331591145
15.0,,,0.04595907743818759,0.04552744309554358,0.04525049136068835,0.04520936696528802,0.044942126411837036,0.04490451188358094,0.04573090345633893,0.04536056008735206
16.0,,,0.044535720652961845,0.04418924831520465,0.0440205998484235,0.04356720218808143,0.04344717981235035,0.04322609613261715,0.04372988587628174,0.043816561832274385
17.0,,,0.04310169421294929,0.04324145049831616,0.04245828068884518,0.04240187791332444,0.042674023931844884,0.041889008296596204,0.0429823311608023,0.042678380957525484
18.0,,,0.042494171928943135,0.04239620107231682,0.04077668385078502,0.04105398268686206,0.04096837986729145,0.04089784467438482,0.04194838978882653,0.04150509340991569
19.0,,,0.04097053333501453,0.040859047986354015,0.03954876954476739,0.03970343869396239,0.04019262813087673,0.0397844339215569,0.039950057031444386,0.04014412980628233
20.0,,,0.03975982320922989,0.039534517862824074,0.038822423554061104,0.03870901781130651,0.03913853638995673,0.03887683061574392,0.03932172008747454,0.03916612421865668
21.0,,,0.038602548887271985,0.03871642778385752,0.038028864753904094,0.037619969194117066,0.03808452204132683,0.03763301404054135,0.03840774541996129,0.03815615601728288
22.0,,,0.03810285839741478,0.037800207815166686,0.03736145394578305,0.036992245286286814,0.03740123606220632,0.0368581256682342,0.037648975070619366,0.03745215746367303
23.0,,,0.03730633137464708,0.03714200130582505,0.03665698965420251,0.0362683519591143,0.03643467031935468,0.03645348978902655,0.03691230497649429,0.036739162768380636
24.0,,,0.036470497025680816,0.0362524463091712,0.035892248887202105,0.03535779462008077,0.03556101633773098,0.03539410063901104,0.036323242701068126,0.03589304950284929
25.0,,,0.03620366438939384,0.03563974575920321,0.03530395585326497,0.034920716583004816,0.035173281831644795,0.034876746477835646,0.03572647491601158,0.035406369401479836
26.0,,,0.03611597770636741,0.03547003854281129,0.034703616218553036,0.03413044667156364,0.03414366965129237,0.034200441606761556,0.033793552243645775,0.034651106091570724
27.0,,,,,0.033907507406876945,0.03368469408874451,0.033924411875636995,0.03340142292361893,,0.03372950907371934
28.0,,,,,0.03333781955346361,0.03289968768744339,0.03299003503036522,0.03294671905712752,,0.033043565332099935
29.0,,,,,0.03282096490418421,0.03257223641283417,0.03277625432347158,0.03276675356060952,,0.03273405230027487
30.0,,,,,0.03260646116163834,0.031887062395872474,0.03225097081781391,0.031817253948529654,,0.03214043708096359
31.0,,,,,0.03118021748909592,0.03138430409213775,0.03162742070188565,0.031485851104408345,,0.031419448346881915
32.0,,,,,0.03128341652700893,0.03079069026728072,0.03109734815599307,0.03102304092810385,,0.031048623969596643
33.0,,,,,0.030274370934185633,0.030663458730011077,0.031156164369573948,0.030726773896734904,,0.03070519198262639
34.0,,,,,0.031225710679723826,0.030061551958162284,0.030278572299250427,0.0302057309805015,,0.030442891479409512
35.0,,,,,0.03157702887753179,0.02990512437721181,0.029856294311261782,0.03820696459778827,,0.03238635304094842
36.0,,,,,0.0337609823722213,0.030935631607103286,0.02952301561394824,0.029213451340992805,,0.030858270233566406
37.0,,,,,0.03368999578347165,0.03193991059026797,0.030374670102996243,0.030112706101715028,,0.031529320644612724
38.0,,,,,0.034353644358378996,0.03489326855851893,0.030325590546553118,0.031473214770746036,,0.03276142955854927
39.0,,,,,0.03693403568733015,0.03763829951457373,0.03185465692061659,0.03358583075949263,,0.03500320572050328
40.0,,,,,0.037721619014483114,0.03848610583787126,0.033213287136214055,0.03526223987592364,,0.03617081296612301
41.0,,,,,0.036188672929509974,0.03673531075606246,0.034878666727966044,0.0355593185986891,,0.035840492253056896
42.0,,,,,,,0.03442520163016847,0.037417827492341134,,0.0359215145612548
