rotation number,time after start [s]
1,5.392197370529175
2,5.395732879638672
3,5.750448703765869
4,5.753676891326904
5,6.0166401863098145
6,6.019829511642456
7,6.262414216995239
8,6.2655348777771
9,6.507380962371826
10,6.510480880737305
11,6.748696565628052
12,6.751810550689697
13,6.986483573913574
14,6.989527463912964
15,7.225344896316528
16,7.228440284729004
17,7.461877107620239
18,7.4649434089660645
19,7.697912693023682
20,7.700870513916016
21,7.940367221832275
22,7.943187475204468
23,8.18481707572937
24,8.187620639801025
25,8.43017053604126
26,8.432873010635376
27,8.675136089324951
28,8.67775845527649
29,8.91808271408081
30,8.920754671096802
31,9.161911249160767
32,9.164514780044556
33,9.406282663345337
34,9.408978462219238
35,9.653120756149292
36,9.655602216720581
37,9.90486192703247
38,9.907331228256226
39,10.152817010879517
40,10.15524435043335
41,10.398417472839355
42,10.400810480117798
43,10.639851093292236
44,10.642136812210083
45,10.87768292427063
46,10.879982471466064
47,11.112863779067993
48,11.115243673324585
49,11.347107172012329
50,11.349342346191406
51,11.583157539367676
52,11.585278987884521
53,11.822749853134155
54,11.824860572814941
55,12.062873363494873
56,12.064910411834717
57,12.508533000946045
58,12.510491132736206
59,12.809901714324951
60,12.811904907226562
61,13.08240008354187
62,13.08432674407959
63,13.340834617614746
64,13.342735528945923
65,13.590386390686035
66,13.592300415039062
67,13.839430570602417
68,13.841269493103027
69,14.091341495513916
70,14.093131065368652
71,14.342375755310059
72,14.344234466552734
73,14.594719409942627
74,14.596838474273682
75,14.843413591384888
76,14.84521198272705
77,15.08857774734497
78,15.090347528457642
79,15.334739208221436
80,15.336663246154785
81,15.579386234283447
82,15.581184387207031
83,15.82526683807373
84,15.827204942703247
85,16.072134256362915
86,16.07392144203186
87,16.313652515411377
88,16.31550693511963
89,16.557224988937378
90,16.559228658676147
91,26.071579694747925
