rotation number,time after start [s]
1,4.181631088256836
2,4.183923244476318
3,4.529824256896973
4,4.531863451004028
5,4.791885852813721
6,4.793768644332886
7,5.040592193603516
8,5.0425028800964355
9,5.277448654174805
10,5.279469966888428
11,5.511409044265747
12,5.513314247131348
13,5.744268417358398
14,5.746246099472046
15,5.977820873260498
16,5.979822397232056
17,6.2165141105651855
18,6.218414545059204
19,6.451615810394287
20,6.453516960144043
21,6.683063268661499
22,6.68502950668335
23,6.9168701171875
24,6.918742418289185
25,7.148308992385864
26,7.15021824836731
27,7.380383491516113
28,7.382275819778442
29,7.614364385604858
30,7.616365194320679
31,7.847515344619751
32,7.8494977951049805
33,8.08363962173462
34,8.085559129714966
35,8.3195481300354
36,8.321455717086792
37,8.558080196380615
38,8.560063362121582
39,8.798239946365356
40,8.800203561782837
41,9.03548264503479
42,9.037390232086182
43,9.273783445358276
44,9.275748014450073
45,9.51292610168457
46,9.51480484008789
47,9.749966144561768
48,9.752011060714722
49,9.990723848342896
50,9.992855072021484
51,10.22938323020935
52,10.231472730636597
53,10.468497276306152
54,10.470448017120361
55,10.71371340751648
56,10.71571159362793
57,10.959194421768188
58,10.961094617843628
59,11.207515239715576
60,11.20942234992981
61,11.456309795379639
62,11.458131551742554
63,11.697999715805054
64,11.699852228164673
65,11.940223217010498
66,11.94209361076355
67,12.179311275482178
68,12.181160926818848
69,12.415886402130127
70,12.417697429656982
71,12.653710126876831
72,12.65571641921997
73,12.88870096206665
74,12.89051866531372
75,13.126009464263916
76,13.12788724899292
77,13.36473822593689
78,13.366538524627686
79,13.60332465171814
80,13.605129718780518
81,13.845221281051636
82,13.847158193588257
83,14.085347652435303
84,14.087220907211304
85,14.325478792190552
86,14.327318906784058
87,14.571146488189697
88,14.573056936264038
89,14.812929153442383
90,14.814722299575806
91,19.081637144088745
