rotation number,time after start [s]
1,3.6584887504577637
2,3.660639762878418
3,5.980499267578125
4,5.982638120651245
5,7.530956506729126
6,7.532997369766235
7,8.801015853881836
8,8.803116083145142
9,9.910918951034546
10,9.912925481796265
11,10.916042804718018
12,10.918171644210815
13,11.843518257141113
14,11.845569849014282
15,12.713298320770264
16,12.715348720550537
17,13.53587532043457
18,13.53791069984436
19,14.318874597549438
20,14.320918798446655
21,15.0685293674469
22,15.070569276809692
23,15.789302349090576
24,15.791279554367065
25,16.484375
26,16.48664617538452
27,17.15752077102661
28,17.15947985649109
29,17.81164002418518
30,17.81366753578186
31,18.448671102523804
32,18.450892210006714
33,19.069800853729248
34,19.071760892868042
35,19.67683458328247
36,19.678894758224487
37,20.27102303504944
38,20.273078441619873
39,20.854779958724976
40,20.861771821975708
41,21.4243323802948
42,21.42664647102356
43,21.98513150215149
44,21.987128734588623
45,22.536145210266113
46,22.538264989852905
47,23.078166723251343
48,23.080190181732178
49,23.611642122268677
50,23.61368179321289
51,24.136977434158325
52,24.139188289642334
53,24.65504813194275
54,24.65732431411743
55,25.16641902923584
56,25.168426275253296
57,25.671372175216675
58,25.67338991165161
59,26.170674562454224
60,26.172607421875
61,26.664433240890503
62,26.666541576385498
63,27.152831315994263
64,27.15473461151123
65,27.636051654815674
66,27.63798499107361
67,28.1141996383667
68,28.116020679473877
69,28.587708473205566
70,28.58970069885254
71,29.056666135787964
72,29.05857229232788
73,29.52103567123413
74,29.522902011871338
75,29.98127031326294
76,29.98311710357666
77,30.4372980594635
78,30.439202547073364
79,30.889440059661865
80,30.89126467704773
81,31.337633848190308
82,31.339458227157593
83,31.78213906288147
84,31.783925771713257
85,32.22309160232544
86,32.22493004798889
87,32.660643339157104
88,32.66264486312866
89,33.09488844871521
90,33.096715211868286
91,33.53055763244629
92,33.5323920249939
93,33.97752261161804
94,33.979315757751465
95,34.43731737136841
96,34.43925929069519
97,34.9109091758728
98,34.912779331207275
99,35.39931511878967
100,35.40123748779297
101,35.90396046638489
102,35.90590739250183
103,36.4261953830719
104,36.428075313568115
105,36.96751260757446
106,36.96941900253296
107,37.52977132797241
108,37.53158783912659
109,38.11523628234863
110,38.1170551776886
111,38.726436376571655
112,38.728304862976074
113,39.36667513847351
114,39.368507623672485
115,40.039464473724365
116,40.04134225845337
117,40.75033736228943
118,40.75223994255066
119,41.50480008125305
120,41.50671577453613
121,42.31014132499695
122,42.31195545196533
123,43.17649555206299
124,43.178499937057495
125,44.11696481704712
126,44.11886024475098
127,45.151954650878906
128,45.154021978378296
129,46.31144380569458
130,46.313355445861816
131,47.64392399787903
132,47.64591073989868
133,49.24619650840759
134,49.24811339378357
135,51.33997964859009
136,51.342169761657715
137,54.94958162307739
138,54.95160794258118
139,57.720558643341064
